0,25,ARGUMENTACION Y RETORICA (INGLES),FELIPE GUADAMUZ,S 8:00AM - 11:00AM,G1,120000, V
0,25,ARGUMENTACION Y RETORICA (ESPA�OL),POR ASIGNAR,M 1:00PM - 4:00PM ,G2,120000, V
0,26,SERVICIOS WEB ,MAIKOL ARGUEDAS,V 6:30PM - 9:30PM ,G1,200000, VI
0,26,SERVICIOS WEB ,JOSE ZUNIGA,S 2:00PM - 5:00PM,G2,200000, VI
0,27,ELECTIVA DE PROGRAMACION (LENGUAJE RUBY ON RAILS),JOSE SANCHEZ ,M 6:30PM - 9:30PM,G1,200000, VI
0,28,ELECTIVAS INTELIGENCIA DE NEGOCIOS (VIRTUALIZACION DE DATOS E INTELIGENCIA DE NEGOCIOS),JIMMY MORA,L 6:30PM - 9:30PM ,G1,200000, VI
0,29,EXPRESIONES DEL ESPIRITU HUMANO (INGLES),POR ASIGNAR,J 6:30PM - 9:30PM,G1,120000, VI
0,29,EXPRESIONES DEL ESPIRITU HUMANO (INGLES),POR ASIGNAR,K 6:30PM - 9:30PM,G2,120000, VI
0,29,EXPRESIONES DEL ESPIRITU HUMANO (ESPANOL),POR ASIGNAR,J 1:00PM - 4:00PM ,G3,120000, VI
0,30,RAZONAMIENTO MORAL Y DECISIONES ETICAS (INGLES),HELMUTH ANGULO,M 6:30PM - 9:30PM,G1,120000, VI
0,30,RAZONAMIENTO MORAL Y DECISIONES ETICAS (ESPANOL),POR ASIGNAR,K 7:00PM - 10:00PM,G2,120000, VI
0,31,ELECTIVA DE DISENO WEB (DISENO WEB II),ISAAC MENDEZ,S 2:00PM - 5:00PM,G1,200000, VII
0,32,ELECTIVA DE ESTANDARES (COBIT),JOSE ZUNIGA,S 11:00AM - 2:00PM,G1,120000, VII
0,33,SEGURIDAD Y PROTECCION DE DATOS ,RANDALL BARNETT,L 6:30PM - 9:30PM ,G1,200000, VII
0,34,EXPERIENCIA PROFESIONAL I: ESTUDIO DE CASOS ,POR ASIGNAR,V 5:00PM - 6:00PM,G1,145000, VII
0,35,GLOBALIZACION:  AMBIENTE Y DESARROLLO HUMANO (INGLES) ,ZAHIRA CHAVARRIA,J 6:30PM - 9:30PM,G1,120000, VII
0,35,GLOBALIZACION:  AMBIENTE Y DESARROLLO HUMANO (ESPANOL) ,POR ASIGNAR,V 1:00PM - 4:00PM ,G2,120000, VII
0,36,TCU ,POR ASIGNAR,L 2:00PM - 4:00PM,G1,0, VIII
0,36,TCU ,POR ASIGNAR,L 6:00PM - 8:00PM,G2,0, VIII
0,36,TCU ,POR ASIGNAR,K 4:00PM - 6:00PM,G3,0, VIII
